duration (ms),status,error
228.92,OK,
227.24,OK,
229.47,OK,
230.09,OK,
229.75,OK,
234.53,OK,
228.12,OK,
231.44,OK,
235.52,OK,
228.04,OK,
10.91,OK,
11.49,OK,
12.59,OK,
13.59,OK,
14.61,OK,
15.56,OK,
16.39,OK,
17.04,OK,
17.73,OK,
24.43,OK,
17.78,OK,
17.31,OK,
16.92,OK,
16.45,OK,
17.12,OK,
16.72,OK,
16.43,OK,
16.50,OK,
22.13,OK,
16.12,OK,
16.19,OK,
16.04,OK,
16.02,OK,
16.04,OK,
14.88,OK,
14.96,OK,
14.98,OK,
19.94,OK,
14.16,OK,
13.93,OK,
14.09,OK,
14.04,OK,
14.28,OK,
14.27,OK,
14.27,OK,
14.19,OK,
19.01,OK,
14.24,OK,
14.28,OK,
14.37,OK,
14.26,OK,
14.13,OK,
14.10,OK,
14.04,OK,
14.13,OK,
19.23,OK,
14.56,OK,
14.74,OK,
14.99,OK,
15.13,OK,
15.31,OK,
15.59,OK,
15.71,OK,
16.00,OK,
21.76,OK,
16.63,OK,
16.66,OK,
16.42,OK,
15.99,OK,
15.93,OK,
15.63,OK,
15.57,OK,
15.61,OK,
21.25,OK,
15.46,OK,
15.61,OK,
15.84,OK,
15.83,OK,
16.20,OK,
16.43,OK,
16.66,OK,
16.69,OK,
22.73,OK,
16.75,OK,
16.79,OK,
16.82,OK,
16.81,OK,
16.76,OK,
16.48,OK,
16.35,OK,
16.18,OK,
21.55,OK,
15.45,OK,
15.56,OK,
15.68,OK,
15.42,OK,
15.34,OK,
15.27,OK,
15.20,OK,
15.29,OK,
20.86,OK,
15.10,OK,
14.89,OK,
15.17,OK,
14.47,OK,
14.16,OK,
13.95,OK,
13.96,OK,
13.82,OK,
13.69,OK,
11.82,OK,
12.17,OK,
11.70,OK,
11.15,OK,
11.74,OK,
11.56,OK,
11.52,OK,
11.38,OK,
11.21,OK,
15.68,OK,
11.66,OK,
11.33,OK,
11.84,OK,
11.90,OK,
11.84,OK,
11.85,OK,
11.84,OK,
11.98,OK,
11.47,OK,
16.91,OK,
11.58,OK,
11.31,OK,
11.16,OK,
10.87,OK,
10.64,OK,
10.72,OK,
10.64,OK,
15.04,OK,
13.00,OK,
13.37,OK,
12.40,OK,
11.79,OK,
12.16,OK,
12.47,OK,
12.78,OK,
12.80,OK,
17.34,OK,
12.77,OK,
9.80,OK,
10.84,OK,
11.29,OK,
11.67,OK,
11.54,OK,
11.31,OK,
11.16,OK,
15.09,OK,
10.73,OK,
10.76,OK,
11.11,OK,
9.95,OK,
10.74,OK,
11.05,OK,
11.68,OK,
11.98,OK,
16.41,OK,
12.63,OK,
12.67,OK,
12.59,OK,
12.27,OK,
12.12,OK,
12.08,OK,
11.52,OK,
11.48,OK,
14.57,OK,
9.98,OK,
9.67,OK,
9.49,OK,
9.36,OK,
9.21,OK,
9.11,OK,
8.94,OK,
8.97,OK,
12.77,OK,
9.40,OK,
9.40,OK,
9.44,OK,
9.55,OK,
9.67,OK,
9.84,OK,
9.80,OK,
9.98,OK,
13.94,OK,
10.16,OK,
10.16,OK,
10.14,OK,
10.10,OK,
10.05,OK,
9.98,OK,
9.86,OK,
9.90,OK,
13.20,OK,
9.15,OK,
9.13,OK,
9.13,OK,
9.13,OK,
9.20,OK,
9.22,OK,
9.15,OK,
9.09,OK,
12.78,OK,
9.38,OK,
9.34,OK,
9.17,OK,
9.12,OK,
9.05,OK,
9.06,OK,
8.98,OK,
8.98,OK,
13.56,OK,
9.00,OK,
9.63,OK,
9.21,OK,
9.43,OK,
9.74,OK,
9.77,OK,
9.21,OK,
10.36,OK,
14.06,OK,
9.52,OK,
9.82,OK,
10.80,OK,
11.54,OK,
11.73,OK,
10.49,OK,
10.69,OK,
10.42,OK,
13.71,OK,
9.58,OK,
9.51,OK,
9.34,OK,
7.59,OK,
8.31,OK,
8.48,OK,
8.57,OK,
11.31,OK,
11.74,OK,
8.36,OK,
8.14,OK,
8.16,OK,
8.09,OK,
8.05,OK,
7.80,OK,
12.83,OK,
13.05,OK,
9.87,OK,
10.41,OK,
10.59,OK,
10.59,OK,
10.64,OK,
10.66,OK,
10.80,OK,
11.17,OK,
9.61,OK,
8.64,OK,
9.94,OK,
11.17,OK,
12.85,OK,
10.33,OK,
12.38,OK,
9.19,OK,
9.37,OK,
12.00,OK,
10.56,OK,
7.37,OK,
7.97,OK,
8.40,OK,
8.59,OK,
9.02,OK,
8.73,OK,
9.03,OK,
9.19,OK,
9.32,OK,
7.52,OK,
7.52,OK,
7.44,OK,
7.46,OK,
7.44,OK,
7.42,OK,
7.38,OK,
10.13,OK,
10.23,OK,
7.24,OK,
7.33,OK,
7.26,OK,
7.23,OK,
7.24,OK,
7.31,OK,
10.45,OK,
10.56,OK,
7.78,OK,
